0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
1.2464943115004561e-08,1.1141298148633946e-08,2.7628054989846177e-09,7.757848619145585e-09,2.3003700881058038e-08,6.872737126003618e-08,1.6845850389354213e-07,3.358488136913225e-07,6.720555364093372e-07,3.019003425023795e-06,8.936260247919834e-06,1.0366849936700595e-05,8.598058915244192e-06,7.0594378017205946e-06,5.91875340952439e-06,4.624437703277889e-06,3.7802480701148847e-06,3.1505199834460017e-06,2.6265348002012586e-06,2.231857326748173e-06,1.922967431668518e-06,1.699799085133405e-06,1.5171585461721815e-06,1.3804337243053523e-06,1.2261476169974846e-06,1.0958316320117442e-06,9.813842786007066e-07,8.841304837730053e-07,8.205086937331385e-07,7.622920658236111e-07,6.72103316988696e-07,6.282105907243335e-07,5.839614018408192e-07,5.243198904672571e-07,4.786655345397823e-07,4.2403614877209926e-07,3.910970377723086e-07,3.5678929710275986e-07,3.3869857999209953e-07,3.1012123020340754e-07,2.999025563861968e-07,2.87890287973103e-07,2.560177397498657e-07,2.4612457413481186e-07,2.352392230038468e-07,2.1992325805684937e-07,2.061283909236128e-07,1.9762224964609614e-07,1.8770678215240842e-07,1.8160750353354517e-07,1.8383748394782207e-07,1.7996221167651442e-07,1.880349802322932e-07,1.7954363428765205e-07,1.6757125673523615e-07,1.655677165892469e-07,1.4862628747263867e-07,1.3722488352146682e-07,1.26532312226812e-07,1.1209943137288702e-07,9.602345204699425e-08,8.59046385198772e-08,7.728885169729499e-08,7.131454758937979e-08,6.545671050375729e-08,6.103064205917254e-08,5.7492252314596074e-08,5.4629883154834856e-08,5.307368012632183e-08,4.855328578049234e-08,4.543253320876215e-08,4.299698768698767e-08,3.9979976350053727e-08,3.843678661342495e-08,3.5371147784330675e-08,3.350827593996396e-08,3.096066942348247e-08,2.8777388257700796e-08,2.6507403764938434e-08,2.5134618448521955e-08,2.533205459559135e-08,2.3113386211572826e-08,2.1949183870315255e-08,2.0931133290760116e-08,2.0260731969768205e-08,2.005040115158556e-08,2.0088100736429476e-08,1.9615615148593668e-08,1.893794547565389e-08,1.7244018223461934e-08,1.6618402375379293e-08
1.7284285909218846e-08,1.5423048252972075e-08,3.743148454061958e-09,1.0910750192875391e-08,3.1807517181641356e-08,9.420006966736046e-08,2.342075348913723e-07,4.775009359072129e-07,9.73069521192958e-07,4.487437547756049e-06,1.3698891502232e-05,1.5368415550352605e-05,1.2011339390052704e-05,9.489609203352957e-06,7.4913801440914515e-06,5.502592595946923e-06,4.357497744849398e-06,3.524028037962106e-06,2.8734109866909084e-06,2.3803726379328847e-06,1.9410298567120655e-06,1.5960242504863933e-06,1.3421163317493771e-06,1.1552785774269153e-06,9.495945526378146e-07,7.986956372296765e-07,6.864422574013098e-07,6.084864372060197e-07,5.323398996598816e-07,4.638928547084091e-07,4.111181266324082e-07,3.725905637503685e-07,3.390968587566159e-07,2.963335526209125e-07,2.668545560934029e-07,2.4266513243752403e-07,2.225619213770263e-07,1.921173571109061e-07,1.6941536336850833e-07,1.538836933843979e-07,1.4862496894869573e-07,1.4155840608749995e-07,1.130518100425521e-07,1.0754341466110592e-07,9.964750503914983e-08,9.551027508742273e-08,9.167720383991947e-08,8.894874399216019e-08,8.414617133271072e-08,7.827884845222846e-08,8.410572051171368e-08,7.921596193091641e-08,7.171921577704541e-08,6.962008098784862e-08,6.519244091486055e-08,5.859043448548108e-08,5.4389051579481905e-08,4.881134038348912e-08,4.66115896323351e-08,4.641876841054352e-08,3.848110476426004e-08,3.4508524309834907e-08,3.370127366458982e-08,3.188426152687578e-08,2.8988677908515898e-08,2.8222084024834877e-08,2.61334280915996e-08,2.4929898760904764e-08,2.5499524917018006e-08,2.3067192564361105e-08,2.123472923195506e-08,2.0353024299030412e-08,2.0124897809444626e-08,1.8939006035254236e-08,1.7939264968494525e-08,1.730778913828895e-08,1.7280400387868343e-08,1.9033993042021157e-08,1.678408615232729e-08,1.5733453935470795e-08,1.6075096060140194e-08,1.4689232776221775e-08,1.4198856721466777e-08,1.3513439805205078e-08,1.2967428312384489e-08,1.2512687834583788e-08,1.2635114516360882e-08,1.1564556119714828e-08,1.0595505637468885e-08,1.0122261912072063e-08,9.918526875583737e-09
1.485467064246851e-08,1.3324819837141795e-08,4.338366786212082e-09,1.3602175440938591e-08,3.523245592818363e-08,1.0915271673103156e-07,2.5926786634958686e-07,4.626187297105803e-07,8.990026989513391e-07,3.965103003092241e-06,1.1801379012655376e-05,1.2887175913412625e-05,9.683390544539788e-06,8.190865839662823e-06,6.914075345576914e-06,5.0091573712058424e-06,3.974525924643441e-06,3.3180309638440328e-06,2.7281812466508156e-06,2.269060699641782e-06,2.09714282010323e-06,2.0041742327942432e-06,1.5599255770475103e-06,1.2090039834830452e-06,1.0529263536139071e-06,8.981026155397254e-07,8.064822155323894e-07,6.893535368206967e-07,6.173371222231113e-07,5.554507869477515e-07,5.284475574012328e-07,5.065698538479961e-07,4.558292441682158e-07,4.0218162543309317e-07,3.8361285214571206e-07,3.689375380136549e-07,3.641201943009134e-07,3.4838836307839396e-07,3.2051774501574913e-07,3.1595068262658755e-07,3.4437287330505367e-07,3.3721293713503304e-07,2.971590033074829e-07,2.953570503596187e-07,2.6098009387325853e-07,2.4258602243986476e-07,2.460160590792788e-07,2.3655055373018566e-07,2.4463245198163234e-07,2.3057903928856692e-07,2.2220271206007794e-07,2.092860204994058e-07,2.0473846174350257e-07,1.9948495365252986e-07,1.8200723040511832e-07,1.4235478587543501e-07,1.2030745074219881e-07,1.1222427173487876e-07,1.0251298569015401e-07,9.212245905694841e-08,7.9127305398876e-08,7.177127413828372e-08,6.56356276925671e-08,5.616700892713637e-08,5.626603853517291e-08,5.729631960780056e-08,4.9670389140333106e-08,4.710245361074777e-08,4.5208594315570364e-08,4.002535393802257e-08,3.8815965638442124e-08,3.6339649421352024e-08,3.320519939965794e-08,3.001392401098172e-08,2.8646407625867365e-08,2.766159873890627e-08,2.4898494067228195e-08,2.594262376967194e-08,2.1535187944263867e-08,1.950452712303039e-08,1.8352564018055472e-08,1.8614373096459814e-08,1.7310600184864177e-08,1.5701582471026283e-08,1.5826756388425257e-08,1.5549864892192972e-08,1.516019643698284e-08,1.3533359435145442e-08,1.3344721484611217e-08,1.2245798168719106e-08,1.182504198612055e-08
